Country,Year,Sex,Age,Population
World,2018,Male,0-4,354862
World,2019,Male,0-4,352684
World,2020,Male,0-4,349489
World,2021,Male,0-4,345269
China,2018,Male,0-4,47478
China,2019,Male,0-4,45605
China,2020,Male,0-4,43091
China,2021,Male,0-4,39708
India,2018,Male,0-4,62142
India,2019,Male,0-4,61478
India,2020,Male,0-4,60772
India,2021,Male,0-4,59968
Pakistan,2018,Male,0-4,14992
Pakistan,2019,Male,0-4,15001
Pakistan,2020,Male,0-4,15058
Pakistan,2021,Male,0-4,15145
Indonesia,2018,Male,0-4,11887
Indonesia,2019,Male,0-4,11742
Indonesia,2020,Male,0-4,11616
Indonesia,2021,Male,0-4,11508
United States,2018,Male,0-4,10239
United States,2019,Male,0-4,10149
United States,2020,Male,0-4,9985
United States,2021,Male,0-4,9798
World,2022,Male,0-4,340675
China,2022,Male,0-4,35675
India,2022,Male,0-4,59257
Pakistan,2022,Male,0-4,15243
Indonesia,2022,Male,0-4,11420
United States,2022,Male,0-4,9669
World,2018,Female,0-4,333799
World,2019,Female,0-4,332189
World,2020,Female,0-4,329658
World,2021,Female,0-4,326209
China,2018,Female,0-4,41414
China,2019,Female,0-4,39950
China,2020,Female,0-4,37909
China,2021,Female,0-4,35083
India,2018,Female,0-4,56981
India,2019,Female,0-4,56479
India,2020,Female,0-4,55953
India,2021,Female,0-4,55341
Pakistan,2018,Female,0-4,14309
Pakistan,2019,Female,0-4,14321
Pakistan,2020,Female,0-4,14376
Pakistan,2021,Female,0-4,14461
Indonesia,2018,Female,0-4,11277
Indonesia,2019,Female,0-4,11137
Indonesia,2020,Female,0-4,11013
Indonesia,2021,Female,0-4,10907
United States,2018,Female,0-4,9783
United States,2019,Female,0-4,9701
United States,2020,Female,0-4,9544
United States,2021,Female,0-4,9367
World,2022,Female,0-4,322433
China,2022,Female,0-4,31665
India,2022,Female,0-4,54809
Pakistan,2022,Female,0-4,14556
Indonesia,2022,Female,0-4,10820
United States,2022,Female,0-4,9245
World,2018,Male,45055,348163
World,2019,Male,45055,350162
World,2020,Male,45055,351561
World,2021,Male,45055,352538
China,2018,Male,45055,48267
China,2019,Male,45055,48554
China,2020,Male,45055,48570
China,2021,Male,45055,48526
India,2018,Male,45055,65293
India,2019,Male,45055,64695
India,2020,Male,45055,63922
India,2021,Male,45055,63227
Pakistan,2018,Male,45055,14427
Pakistan,2019,Male,45055,14587
Pakistan,2020,Male,45055,14683
Pakistan,2021,Male,45055,14728
Indonesia,2018,Male,45055,12291
Indonesia,2019,Male,45055,12292
Indonesia,2020,Male,45055,12260
Indonesia,2021,Male,45055,12162
United States,2018,Male,45055,10662
United States,2019,Male,45055,10596
United States,2020,Male,45055,10555
United States,2021,Male,45055,10510
World,2022,Male,45055,352786
China,2022,Male,45055,48384
India,2022,Male,45055,62514
Pakistan,2022,Male,45055,14747
Indonesia,2022,Male,45055,12000
United States,2022,Male,45055,10453
World,2018,Female,45055,326163
World,2019,Female,45055,328257
World,2020,Female,45055,329851
World,2021,Female,45055,331075
China,2018,Female,45055,41369
China,2019,Female,45055,41728
China,2020,Female,45055,41872
China,2021,Female,45055,41984
India,2018,Female,45055,59354
India,2019,Female,45055,58881
India,2020,Female,45055,58263
India,2021,Female,45055,57729
Pakistan,2018,Female,45055,13729
Pakistan,2019,Female,45055,13911
Pakistan,2020,Female,45055,14024
Pakistan,2021,Female,45055,14083
Indonesia,2018,Female,45055,11666
Indonesia,2019,Female,45055,11666
Indonesia,2020,Female,45055,11635
Indonesia,2021,Female,45055,11543
United States,2018,Female,45055,10163
United States,2019,Female,45055,10102
United States,2020,Female,45055,10073
United States,2021,Female,45055,10041
World,2022,Female,45055,331634
China,2022,Female,45055,42029
India,2022,Female,45055,57176
Pakistan,2022,Female,45055,14113
Indonesia,2022,Female,45055,11390
United States,2022,Female,45055,9989
World,2018,Male,45213,329761
World,2019,Male,45213,333620
World,2020,Male,45213,337364
World,2021,Male,45213,340825
China,2018,Male,45213,44315
China,2019,Male,45213,45248
China,2020,Male,45213,46088
China,2021,Male,45213,46723
India,2018,Male,45213,66621
India,2019,Male,45213,66212
India,2020,Male,45213,65907
India,2021,Male,45213,65686
Pakistan,2018,Male,45213,13241
Pakistan,2019,Male,45213,13419
Pakistan,2020,Male,45213,13636
Pakistan,2021,Male,45213,13889
Indonesia,2018,Male,45213,11735
Indonesia,2019,Male,45213,11883
Indonesia,2020,Male,45213,12005
Indonesia,2021,Male,45213,12120
United States,2018,Male,45213,11238
United States,2019,Male,45213,11309
United States,2020,Male,45213,11284
United States,2021,Male,45213,11150
World,2022,Male,45213,344165
China,2022,Male,45213,47515
India,2022,Male,45213,65448
Pakistan,2022,Male,45213,14133
Indonesia,2022,Male,45213,12218
United States,2022,Male,45213,10963
World,2018,Female,45213,308691
World,2019,Female,45213,312296
World,2020,Female,45213,315819
World,2021,Female,45213,319110
China,2018,Female,45213,37766
China,2019,Female,45213,38573
China,2020,Female,45213,39318
China,2021,Female,45213,39907
India,2018,Female,45213,60443
India,2019,Female,45213,60084
India,2020,Female,45213,59815
India,2021,Female,45213,59622
Pakistan,2018,Female,45213,12485
Pakistan,2019,Female,45213,12673
Pakistan,2020,Female,45213,12907
Pakistan,2021,Female,45213,13178
Indonesia,2018,Female,45213,11130
Indonesia,2019,Female,45213,11274
Indonesia,2020,Female,45213,11394
Indonesia,2021,Female,45213,11505
United States,2018,Female,45213,10728
United States,2019,Female,45213,10784
United States,2020,Female,45213,10750
United States,2021,Female,45213,10615
World,2022,Female,45213,322326
China,2022,Female,45213,40652
India,2022,Female,45213,59434
Pakistan,2022,Female,45213,13441
Indonesia,2022,Female,45213,11598
United States,2022,Female,45213,10440
World,2018,Male,15-19,315758
World,2019,Male,15-19,317843
World,2020,Male,15-19,319817
World,2021,Male,15-19,321862
China,2018,Male,15-19,42970
China,2019,Male,15-19,42884
China,2020,Male,15-19,42808
China,2021,Male,15-19,42898
India,2018,Male,15-19,67534
India,2019,Male,15-19,67718
India,2020,Male,15-19,67690
India,2021,Male,15-19,67337
Pakistan,2018,Male,15-19,12221
Pakistan,2019,Male,15-19,12387
Pakistan,2020,Male,15-19,12558
Pakistan,2021,Male,15-19,12719
Indonesia,2018,Male,15-19,11282
Indonesia,2019,Male,15-19,11286
Indonesia,2020,Male,15-19,11327
Indonesia,2021,Male,15-19,11405
United States,2018,Male,15-19,11122
United States,2019,Male,15-19,11188
United States,2020,Male,15-19,11224
United States,2021,Male,15-19,11264
World,2022,Male,15-19,324667
China,2022,Male,15-19,43406
India,2022,Male,15-19,66812
Pakistan,2022,Male,15-19,12882
Indonesia,2022,Male,15-19,11528
United States,2022,Male,15-19,11361
World,2018,Female,15-19,295642
World,2019,Female,15-19,297694
World,2020,Female,15-19,299677
World,2021,Female,15-19,301700
China,2018,Female,15-19,36851
China,2019,Female,15-19,36700
China,2020,Female,15-19,36576
China,2021,Female,15-19,36611
India,2018,Female,15-19,61156
India,2019,Female,15-19,61355
India,2020,Female,15-19,61363
India,2021,Female,15-19,61075
Pakistan,2018,Female,15-19,11589
Pakistan,2019,Female,15-19,11759
Pakistan,2020,Female,15-19,11917
Pakistan,2021,Female,15-19,12062
Indonesia,2018,Female,15-19,10697
Indonesia,2019,Female,15-19,10701
Indonesia,2020,Female,15-19,10741
Indonesia,2021,Female,15-19,10816
United States,2018,Female,15-19,10648
United States,2019,Female,15-19,10708
United States,2020,Female,15-19,10742
United States,2021,Female,15-19,10782
World,2022,Female,15-19,304350
China,2022,Female,15-19,37019
India,2022,Female,15-19,60610
Pakistan,2022,Female,15-19,12212
Indonesia,2022,Female,15-19,10936
United States,2022,Female,15-19,10872
World,2018,Male,20-24,307268
World,2019,Male,20-24,307503
World,2020,Male,20-24,308352
World,2021,Male,20-24,309757
China,2018,Male,20-24,46296
China,2019,Male,20-24,45026
China,2020,Male,20-24,44184
China,2021,Male,20-24,43610
India,2018,Male,20-24,64854
India,2019,Male,20-24,65305
India,2020,Male,20-24,65746
India,2021,Male,20-24,66258
Pakistan,2018,Male,20-24,10532
Pakistan,2019,Male,20-24,10686
Pakistan,2020,Male,20-24,10901
Pakistan,2021,Male,20-24,11178
Indonesia,2018,Male,20-24,11138
Indonesia,2019,Male,20-24,11196
Indonesia,2020,Male,20-24,11222
Indonesia,2021,Male,20-24,11228
United States,2018,Male,20-24,11208
United States,2019,Male,20-24,11151
United States,2020,Male,20-24,11167
United States,2021,Male,20-24,11222
World,2022,Male,20-24,311357
China,2022,Male,20-24,43079
India,2022,Male,20-24,66716
Pakistan,2022,Male,20-24,11494
Indonesia,2022,Male,20-24,11206
United States,2022,Male,20-24,11292
World,2018,Female,20-24,289069
World,2019,Female,20-24,289032
World,2020,Female,20-24,289691
World,2021,Female,20-24,290941
China,2018,Female,20-24,40442
China,2019,Female,20-24,39151
China,2020,Female,20-24,38262
China,2021,Female,20-24,37633
India,2018,Female,20-24,58789
India,2019,Female,20-24,59101
India,2020,Female,20-24,59458
India,2021,Female,20-24,59917
Pakistan,2018,Female,20-24,10159
Pakistan,2019,Female,20-24,10352
Pakistan,2020,Female,20-24,10575
Pakistan,2021,Female,20-24,10828
Indonesia,2018,Female,20-24,10588
Indonesia,2019,Female,20-24,10645
Indonesia,2020,Female,20-24,10671
Indonesia,2021,Female,20-24,10676
United States,2018,Female,20-24,10770
United States,2019,Female,20-24,10721
United States,2020,Female,20-24,10741
United States,2021,Female,20-24,10799
World,2022,Female,20-24,292421
China,2022,Female,20-24,37061
India,2022,Female,20-24,60361
Pakistan,2022,Female,20-24,11103
Indonesia,2022,Female,20-24,10653
United States,2022,Female,20-24,10870
World,2018,Male,25-29,311614
World,2019,Male,25-29,309703
World,2020,Male,25-29,306986
World,2021,Male,25-29,304921
China,2018,Male,25-29,59507
China,2019,Male,25-29,56327
China,2020,Male,25-29,52404
China,2021,Male,25-29,49242
India,2018,Male,25-29,61141
India,2019,Male,25-29,61742
India,2020,Male,25-29,62449
India,2021,Male,25-29,63130
Pakistan,2018,Male,25-29,9118
Pakistan,2019,Male,25-29,9217
Pakistan,2020,Male,25-29,9353
Pakistan,2021,Male,25-29,9536
Indonesia,2018,Male,25-29,10693
Indonesia,2019,Male,25-29,10716
Indonesia,2020,Male,25-29,10773
Indonesia,2021,Male,25-29,10846
United States,2018,Male,25-29,11889
United States,2019,Male,25-29,11876
United States,2020,Male,25-29,11780
United States,2021,Male,25-29,11635
World,2022,Male,25-29,304345
China,2022,Male,25-29,47456
India,2022,Male,25-29,63683
Pakistan,2022,Male,25-29,9757
Indonesia,2022,Male,25-29,10934
United States,2022,Male,25-29,11504
World,2018,Female,25-29,296332
World,2019,Female,25-29,294154
World,2020,Female,25-29,291227
World,2021,Female,25-29,288912
China,2018,Female,25-29,53637
China,2019,Female,25-29,50464
China,2020,Female,25-29,46644
China,2021,Female,25-29,43546
India,2018,Female,25-29,56330
India,2019,Female,25-29,56738
India,2020,Female,25-29,57185
India,2021,Female,25-29,57609
Pakistan,2018,Female,25-29,8895
Pakistan,2019,Female,25-29,9056
Pakistan,2020,Female,25-29,9234
Pakistan,2021,Female,25-29,9433
Indonesia,2018,Female,25-29,10165
Indonesia,2019,Female,25-29,10188
Indonesia,2020,Female,25-29,10245
Indonesia,2021,Female,25-29,10321
United States,2018,Female,25-29,11547
United States,2019,Female,25-29,11532
United States,2020,Female,25-29,11427
United States,2021,Female,25-29,11271
World,2022,Female,25-29,287904
China,2022,Female,25-29,41724
India,2022,Female,25-29,57938
Pakistan,2022,Female,25-29,9645
Indonesia,2022,Female,25-29,10413
United States,2022,Female,25-29,11139
World,2018,Male,30-34,297604
World,2019,Male,30-34,302566
World,2020,Male,30-34,307164
World,2021,Male,30-34,309670
China,2018,Male,30-34,59358
China,2019,Male,30-34,61640
China,2020,Male,30-34,63819
China,2021,Male,30-34,64180
India,2018,Male,30-34,57149
India,2019,Male,30-34,57952
India,2020,Male,30-34,58648
India,2021,Male,30-34,59248
Pakistan,2018,Male,30-34,7548
Pakistan,2019,Male,30-34,7719
Pakistan,2020,Male,30-34,7937
Pakistan,2021,Male,30-34,8185
Indonesia,2018,Male,30-34,10647
Indonesia,2019,Male,30-34,10584
Indonesia,2020,Male,30-34,10538
Indonesia,2021,Male,30-34,10545
United States,2018,Male,30-34,11417
United States,2019,Male,30-34,11569
United States,2020,Male,30-34,11714
United States,2021,Male,30-34,11835
World,2022,Male,30-34,309407
China,2022,Male,30-34,61995
India,2022,Male,30-34,59815
Pakistan,2022,Male,30-34,8437
Indonesia,2022,Male,30-34,10571
United States,2022,Male,30-34,11957
World,2018,Female,30-34,285967
World,2019,Female,30-34,290421
World,2020,Female,30-34,294490
World,2021,Female,30-34,296544
China,2018,Female,30-34,55083
China,2019,Female,30-34,56917
China,2020,Female,30-34,58612
China,2021,Female,30-34,58625
India,2018,Female,30-34,52825
India,2019,Female,30-34,53604
India,2020,Female,30-34,54280
India,2021,Female,30-34,54833
Pakistan,2018,Female,30-34,7456
Pakistan,2019,Female,30-34,7669
Pakistan,2020,Female,30-34,7907
Pakistan,2021,Female,30-34,8161
Indonesia,2018,Female,30-34,10164
Indonesia,2019,Female,30-34,10095
Indonesia,2020,Female,30-34,10045
Indonesia,2021,Female,30-34,10046
United States,2018,Female,30-34,11117
United States,2019,Female,30-34,11274
United States,2020,Female,30-34,11438
United States,2021,Female,30-34,11581
World,2022,Female,30-34,295974
China,2022,Female,30-34,56313
India,2022,Female,30-34,55326
Pakistan,2022,Female,30-34,8417
Indonesia,2022,Female,30-34,10067
United States,2022,Female,30-34,11713
World,2018,Male,35-39,269636
World,2019,Male,35-39,274725
World,2020,Male,35-39,279422
World,2021,Male,35-39,284145
China,2018,Male,35-39,51560
China,2019,Male,35-39,52587
China,2020,Male,35-39,53757
China,2021,Male,35-39,55290
India,2018,Male,35-39,50919
India,2019,Male,35-39,52122
India,2020,Male,35-39,53260
India,2021,Male,35-39,54326
Pakistan,2018,Male,35-39,6137
Pakistan,2019,Male,35-39,6322
Pakistan,2020,Male,35-39,6524
Pakistan,2021,Male,35-39,6739
Indonesia,2018,Male,35-39,10542
Indonesia,2019,Male,35-39,10636
Indonesia,2020,Male,35-39,10675
Indonesia,2021,Male,35-39,10646
United States,2018,Male,35-39,11116
United States,2019,Male,35-39,11253
United States,2020,Male,35-39,11331
United States,2021,Male,35-39,11378
World,2022,Male,35-39,288851
China,2022,Male,35-39,56990
India,2022,Male,35-39,55316
Pakistan,2022,Male,35-39,6962
Indonesia,2022,Male,35-39,10581
United States,2022,Male,35-39,11443
World,2018,Female,35-39,260839
World,2019,Female,35-39,265714
World,2020,Female,35-39,270284
World,2021,Female,35-39,274851
China,2018,Female,35-39,48794
China,2019,Female,35-39,49657
China,2020,Female,35-39,50621
China,2021,Female,35-39,51885
India,2018,Female,35-39,47215
India,2019,Female,35-39,48329
India,2020,Female,35-39,49404
India,2021,Female,35-39,50437
Pakistan,2018,Female,35-39,6062
Pakistan,2019,Female,35-39,6294
Pakistan,2020,Female,35-39,6533
Pakistan,2021,Female,35-39,6776
Indonesia,2018,Female,35-39,10168
Indonesia,2019,Female,35-39,10236
Indonesia,2020,Female,35-39,10252
Indonesia,2021,Female,35-39,10207
United States,2018,Female,35-39,10945
United States,2019,Female,35-39,11045
United States,2020,Female,35-39,11100
United States,2021,Female,35-39,11136
World,2022,Female,35-39,279305
China,2022,Female,35-39,53252
India,2022,Female,35-39,51399
Pakistan,2022,Female,35-39,7021
Indonesia,2022,Female,35-39,10131
United States,2022,Female,35-39,11197
World,2018,Male,40-44,244768
World,2019,Male,40-44,245902
World,2020,Male,40-44,248930
World,2021,Male,40-44,253384
China,2018,Male,40-44,50738
China,2019,Male,40-44,48479
China,2020,Male,40-44,47617
China,2021,Male,40-44,47932
India,2018,Male,40-44,44930
India,2019,Male,40-44,45719
India,2020,Male,40-44,46636
India,2021,Male,40-44,47640
Pakistan,2018,Male,40-44,5049
Pakistan,2019,Male,40-44,5145
Pakistan,2020,Male,40-44,5267
Pakistan,2021,Male,40-44,5429
Indonesia,2018,Male,40-44,9671
Indonesia,2019,Male,40-44,9819
Indonesia,2020,Male,40-44,9967
Indonesia,2021,Male,40-44,10103
United States,2018,Male,40-44,10206
United States,2019,Male,40-44,10368
United States,2020,Male,40-44,10576
United States,2021,Male,40-44,10799
World,2022,Male,40-44,259073
China,2022,Male,40-44,49466
India,2022,Male,40-44,48682
Pakistan,2022,Male,40-44,5630
Indonesia,2022,Male,40-44,10236
United States,2022,Male,40-44,11002
World,2018,Female,40-44,239032
World,2019,Female,40-44,239994
World,2020,Female,40-44,242809
World,2021,Female,40-44,247021
China,2018,Female,40-44,48632
China,2019,Female,40-44,46384
China,2020,Female,40-44,45476
China,2021,Female,40-44,45693
India,2018,Female,40-44,42104
India,2019,Female,40-44,42804
India,2020,Female,40-44,43622
India,2021,Female,40-44,44529
Pakistan,2018,Female,40-44,4959
Pakistan,2019,Female,40-44,5091
Pakistan,2020,Female,40-44,5246
Pakistan,2021,Female,40-44,5435
Indonesia,2018,Female,40-44,9451
Indonesia,2019,Female,40-44,9578
Indonesia,2020,Female,40-44,9703
Indonesia,2021,Female,40-44,9815
United States,2018,Female,40-44,10185
United States,2019,Female,40-44,10328
United States,2020,Female,40-44,10516
United States,2021,Female,40-44,10720
World,2022,Female,40-44,252471
China,2022,Female,40-44,47065
India,2022,Female,40-44,45491
Pakistan,2022,Female,40-44,5660
Indonesia,2022,Female,40-44,9924
United States,2022,Female,40-44,10896
World,2018,Male,45-49,238749
World,2019,Male,45-49,240002
World,2020,Male,45-49,240138
World,2021,Male,45-49,239509
China,2018,Male,45-49,63029
China,2019,Male,45-49,61633
China,2020,Male,45-49,59213
China,2021,Male,45-49,56169
India,2018,Male,45-49,39414
India,2019,Male,45-49,40325
India,2020,Male,45-49,41236
India,2021,Male,45-49,42079
Pakistan,2018,Male,45-49,4317
Pakistan,2019,Male,45-49,4384
Pakistan,2020,Male,45-49,4468
Pakistan,2021,Male,45-49,4567
Indonesia,2018,Male,45-49,8756
Indonesia,2019,Male,45-49,8898
Indonesia,2020,Male,45-49,9029
Indonesia,2021,Male,45-49,9155
United States,2018,Male,45-49,10750
United States,2019,Male,45-49,10627
United States,2020,Male,45-49,10418
United States,2021,Male,45-49,10184
World,2022,Male,45-49,238984
China,2022,Male,45-49,53105
India,2022,Male,45-49,42844
Pakistan,2022,Male,45-49,4679
Indonesia,2022,Male,45-49,9279
United States,2022,Male,45-49,10096
World,2018,Female,45-49,236138
World,2019,Female,45-49,237194
World,2020,Female,45-49,237208
World,2021,Female,45-49,236495
China,2018,Female,45-49,61290
China,2019,Female,45-49,59828
China,2020,Female,45-49,57385
China,2021,Female,45-49,54349
India,2018,Female,45-49,37458
India,2019,Female,45-49,38306
India,2020,Female,45-49,39151
India,2021,Female,45-49,39939
Pakistan,2018,Female,45-49,4251
Pakistan,2019,Female,45-49,4342
Pakistan,2020,Female,45-49,4447
Pakistan,2021,Female,45-49,4563
Indonesia,2018,Female,45-49,8647
Indonesia,2019,Female,45-49,8781
Indonesia,2020,Female,45-49,8904
Indonesia,2021,Female,45-49,9022
United States,2018,Female,45-49,10746
United States,2019,Female,45-49,10618
United States,2020,Female,45-49,10417
United States,2021,Female,45-49,10200
World,2022,Female,45-49,235880
China,2022,Female,45-49,51306
India,2022,Female,45-49,40659
Pakistan,2022,Female,45-49,4687
Indonesia,2022,Female,45-49,9136
United States,2022,Female,45-49,10121
World,2018,Male,50-54,214917
World,2019,Male,50-54,217596
World,2020,Male,50-54,221074
World,2021,Male,50-54,224759
China,2018,Male,50-54,58671
China,2019,Male,50-54,59002
China,2020,Male,50-54,59975
China,2021,Male,50-54,60905
India,2018,Male,50-54,34148
India,2019,Male,50-54,34836
India,2020,Male,50-54,35544
India,2021,Male,50-54,36250
Pakistan,2018,Male,50-54,3824
Pakistan,2019,Male,50-54,3854
Pakistan,2020,Male,50-54,3888
Pakistan,2021,Male,50-54,3933
Indonesia,2018,Male,50-54,7643
Indonesia,2019,Male,50-54,7823
Indonesia,2020,Male,50-54,7987
Indonesia,2021,Male,50-54,8123
United States,2018,Male,50-54,10689
United States,2019,Male,50-54,10606
United States,2020,Male,50-54,10614
United States,2021,Male,50-54,10669
World,2022,Male,50-54,228342
China,2022,Male,50-54,61761
India,2022,Male,50-54,36953
Pakistan,2022,Male,50-54,3992
Indonesia,2022,Male,50-54,8245
United States,2022,Male,50-54,10668
World,2018,Female,50-54,216561
World,2019,Female,50-54,218988
